frame,t_video_s,x,y,z,section
1,0.0,-5.187,0.841,4.019,s01
2,0.1,-4.906,0.871,4.018,s01
3,0.2,-4.472,0.885,3.904,s01
4,0.3,-3.906,0.797,3.794,s01
5,0.4,-3.416,0.728,3.757,s01
6,0.5,-2.737,0.665,3.571,s01
7,0.6,-2.099,0.723,3.563,s01
8,0.7,-1.337,0.708,3.507,s01
9,0.8,-0.752,0.547,3.406,s01
10,0.9,0.091,0.417,3.267,s01
11,1.0,0.769,0.217,3.052,s01
12,1.1,1.424,0.138,2.982,s01
13,1.2,2.107,0.061,2.894,s01
14,1.3,2.927,0.083,2.741,s01
15,1.4,3.663,-0.043,2.674,s01
16,1.5,4.550,-0.042,2.550,s01
17,1.6,5.403,-0.015,2.387,s01
18,1.7,6.349,0.151,2.399,s01
19,1.8,7.167,0.219,2.353,s01
20,1.9,8.055,0.423,2.370,s01
21,2.0,8.794,0.423,2.260,s01
22,2.1,9.488,0.606,2.292,s01
23,2.2,10.228,0.623,2.297,s01
24,2.3,10.996,0.754,2.366,s01
25,2.4,11.678,0.650,2.422,s01
26,2.5,12.367,0.646,2.497,s01
27,2.6,13.064,0.625,2.531,s01
28,2.7,13.775,0.774,2.607,s01
29,2.8,14.549,0.670,2.635,s01
30,2.9,15.467,0.701,2.758,s01
31,3.0,16.442,0.685,2.744,s01
32,3.1,17.265,0.695,2.751,s01
33,3.2,18.172,0.632,2.722,s01
34,3.3,18.994,0.752,2.757,s01
35,3.4,19.923,0.764,2.757,s01
36,3.5,20.884,0.822,2.845,s01
37,3.6,21.751,0.764,2.934,s01
38,3.7,22.584,0.848,3.026,s01
39,3.8,23.313,0.892,2.942,s01
40,3.9,23.942,0.902,2.957,s01
41,4.0,24.785,1.000,2.974,s01
42,4.1,25.472,1.202,3.054,s01
43,4.2,26.198,1.255,3.045,s01
44,4.3,26.800,1.230,3.122,s01
45,4.4,27.399,1.147,3.141,s01
46,4.5,28.148,1.192,3.170,s01
47,4.6,28.839,1.270,3.141,s01
48,4.7,29.591,1.391,3.362,s01
49,4.8,30.444,1.491,3.463,s01
50,4.9,31.161,1.526,3.576,s01
51,5.0,32.022,1.546,3.645,s01
52,5.1,32.757,1.441,3.614,s01
53,5.2,33.533,1.533,3.486,s01
54,5.3,34.418,1.568,3.398,s01
55,5.4,35.103,1.580,3.232,s01
56,5.5,35.893,1.429,3.176,s01
57,5.6,36.701,1.186,3.030,s01
58,5.7,37.393,1.078,2.991,s01
59,5.8,38.186,0.963,2.832,s01
60,5.9,38.934,0.862,2.746,s01
61,6.0,39.769,0.984,2.655,s01
62,6.1,40.691,0.891,2.736,s01
63,6.2,41.304,1.025,2.721,s01
64,6.3,42.283,1.047,2.624,s01
65,6.4,43.036,1.028,2.597,s01
66,6.5,43.959,1.203,2.593,s01
67,6.6,44.866,1.269,2.470,s01
68,6.7,45.684,1.276,2.417,s01
69,6.8,46.270,1.188,2.298,s01
70,6.9,47.093,1.102,2.289,s01
71,7.0,47.902,1.046,2.201,s01
72,7.1,48.864,0.992,2.098,s01
73,7.2,49.300,0.759,2.075,s01
74,7.3,50.132,0.834,2.010,s01
75,7.4,50.750,0.727,1.966,s01
76,7.5,51.361,0.666,1.861,s01
77,7.6,51.919,0.646,1.807,s01
78,7.7,52.721,0.696,1.804,s01
79,7.8,53.383,0.743,1.741,s01
80,7.9,53.964,0.859,1.629,s01
81,8.0,54.428,0.827,1.462,s01
82,8.1,55.225,1.020,1.342,s01
83,8.2,55.895,0.987,1.176,s01
84,8.3,56.623,1.019,0.992,s01
85,8.4,57.444,1.089,0.912,s01
86,8.5,58.263,1.101,0.783,s01
87,8.6,58.939,1.255,0.563,s01
88,8.7,59.572,1.189,0.340,s01
89,8.8,60.251,1.176,0.205,s01
90,8.9,61.073,1.180,0.105,s01
91,9.0,61.815,1.127,0.022,s01
92,9.1,62.431,1.059,-0.026,s01
93,9.2,62.966,1.175,-0.115,s01
94,9.3,63.485,1.080,-0.274,s01
95,9.4,64.203,1.037,-0.381,s01
96,9.5,64.900,0.942,-0.468,s01
97,9.6,65.589,1.000,-0.523,s01
98,9.7,66.268,1.108,-0.592,s01
99,9.8,66.865,1.137,-0.697,s01
100,9.9,67.523,1.256,-0.784,s01
101,10.0,68.129,1.417,-0.884,s01
102,10.1,68.838,1.289,-1.049,s01
103,10.2,69.365,1.381,-1.159,s01
104,10.3,69.859,1.476,-1.275,s01
105,10.4,70.323,1.542,-1.446,s01
106,10.5,70.986,1.603,-1.591,s01
107,10.6,71.547,1.630,-1.713,s01
108,10.7,72.113,1.658,-1.843,s01
109,10.8,72.628,1.614,-1.971,s01
110,10.9,73.342,1.676,-2.186,s01
111,11.0,74.026,1.776,-2.319,s01
112,11.1,74.870,1.672,-2.456,s01
113,11.2,75.707,1.642,-2.570,s01
114,11.3,76.518,1.514,-2.555,s01
115,11.4,77.179,1.439,-2.687,s01
116,11.5,77.848,1.361,-2.874,s01
117,11.6,78.552,1.261,-2.946,s01
118,11.7,79.194,1.201,-3.059,s01
119,11.8,79.783,1.011,-3.052,s01
120,11.9,80.301,0.904,-3.072,s01
121,12.0,80.793,0.887,-3.101,s01
122,12.1,81.293,0.864,-3.159,s01
123,12.2,81.921,1.013,-3.243,s01
124,12.3,82.487,0.978,-3.335,s01
125,12.4,83.232,0.866,-3.330,s01
126,12.5,83.883,0.906,-3.458,s01
127,12.6,84.628,0.925,-3.525,s01
128,12.7,85.229,0.948,-3.652,s01
129,12.8,86.008,0.909,-3.749,s01
130,12.9,86.684,0.953,-3.806,s01
131,13.0,87.361,0.918,-3.865,s01
132,13.1,87.974,0.822,-3.919,s01
133,13.2,88.598,0.812,-3.833,s01
134,13.3,88.995,0.877,-3.892,s01
135,13.4,89.603,0.775,-3.808,s01
136,13.5,90.129,0.849,-3.806,s01
137,13.6,90.817,0.933,-3.766,s01
138,13.7,91.334,1.056,-3.698,s01
139,13.8,91.847,1.171,-3.666,s01
140,13.9,92.261,1.311,-3.606,s01
141,14.0,92.784,1.364,-3.533,s01
142,14.1,93.343,1.461,-3.573,s01
143,14.2,93.917,1.468,-3.442,s01
144,14.3,94.367,1.598,-3.438,s01
145,14.4,94.763,1.556,-3.388,s01
146,14.5,95.230,1.659,-3.360,s01
147,14.6,95.711,1.626,-3.374,s01
148,14.7,96.305,1.570,-3.330,s01
149,14.8,96.963,1.502,-3.308,s01
150,14.9,97.569,1.507,-3.361,s01
151,15.0,98.235,1.557,-3.389,s01
