frame,t_video_s,x,y,z,section
1,0.0,-5.649,-0.088,3.803,s01
2,0.1,-5.272,-0.082,3.765,s01
3,0.2,-4.816,-0.074,3.727,s01
4,0.3,-4.285,-0.066,3.687,s01
5,0.4,-3.661,-0.055,3.641,s01
6,0.5,-2.938,-0.044,3.595,s01
7,0.6,-2.211,-0.032,3.548,s01
8,0.7,-1.470,-0.020,3.508,s01
9,0.8,-0.729,-0.008,3.459,s01
10,0.9,0.016,0.005,3.406,s01
11,1.0,0.775,0.017,3.370,s01
12,1.1,1.529,0.029,3.338,s01
13,1.2,2.295,0.042,3.310,s01
14,1.3,3.054,0.054,3.277,s01
15,1.4,3.801,0.066,3.236,s01
16,1.5,4.566,0.079,3.188,s01
17,1.6,5.330,0.091,3.141,s01
18,1.7,6.099,0.104,3.119,s01
19,1.8,6.865,0.116,3.098,s01
20,1.9,7.644,0.129,3.074,s01
21,2.0,8.431,0.141,3.032,s01
22,2.1,9.212,0.154,2.998,s01
23,2.2,10.000,0.167,2.953,s01
24,2.3,10.797,0.180,2.903,s01
25,2.4,11.576,0.193,2.856,s01
26,2.5,12.359,0.205,2.822,s01
27,2.6,13.153,0.218,2.794,s01
28,2.7,13.973,0.232,2.771,s01
29,2.8,14.801,0.245,2.751,s01
30,2.9,15.636,0.258,2.751,s01
31,3.0,16.468,0.272,2.707,s01
32,3.1,17.303,0.285,2.689,s01
33,3.2,18.141,0.299,2.702,s01
34,3.3,19.028,0.313,2.719,s01
35,3.4,19.901,0.327,2.738,s01
36,3.5,20.801,0.342,2.745,s01
37,3.6,21.666,0.356,2.733,s01
38,3.7,22.483,0.369,2.739,s01
39,3.8,23.301,0.382,2.727,s01
40,3.9,24.137,0.396,2.735,s01
41,4.0,24.957,0.409,2.753,s01
42,4.1,25.742,0.422,2.750,s01
43,4.2,26.505,0.434,2.768,s01
44,4.3,27.279,0.446,2.762,s01
45,4.4,28.042,0.459,2.755,s01
46,4.5,28.784,0.471,2.785,s01
47,4.6,29.545,0.483,2.793,s01
48,4.7,30.268,0.495,2.797,s01
49,4.8,31.012,0.507,2.817,s01
50,4.9,31.773,0.519,2.823,s01
51,5.0,32.559,0.532,2.834,s01
52,5.1,33.273,0.543,2.815,s01
53,5.2,34.026,0.555,2.790,s01
54,5.3,34.770,0.567,2.775,s01
55,5.4,35.480,0.579,2.738,s01
56,5.5,36.211,0.591,2.686,s01
57,5.6,37.027,0.604,2.666,s01
58,5.7,37.837,0.617,2.651,s01
59,5.8,38.604,0.630,2.638,s01
60,5.9,39.384,0.642,2.615,s01
61,6.0,40.203,0.656,2.610,s01
62,6.1,40.968,0.668,2.578,s01
63,6.2,41.729,0.680,2.565,s01
64,6.3,42.553,0.694,2.554,s01
65,6.4,43.331,0.706,2.556,s01
66,6.5,44.070,0.718,2.549,s01
67,6.6,44.766,0.729,2.527,s01
68,6.7,45.496,0.741,2.482,s01
69,6.8,46.189,0.753,2.410,s01
70,6.9,46.909,0.765,2.324,s01
71,7.0,47.639,0.776,2.290,s01
72,7.1,48.353,0.788,2.199,s01
73,7.2,49.100,0.800,2.098,s01
74,7.3,49.859,0.813,1.990,s01
75,7.4,50.593,0.825,1.893,s01
76,7.5,51.329,0.837,1.799,s01
77,7.6,52.039,0.849,1.702,s01
78,7.7,52.799,0.861,1.636,s01
79,7.8,53.535,0.873,1.568,s01
80,7.9,54.245,0.885,1.476,s01
81,8.0,54.947,0.896,1.413,s01
82,8.1,55.610,0.907,1.359,s01
83,8.2,56.276,0.918,1.277,s01
84,8.3,56.978,0.930,1.171,s01
85,8.4,57.660,0.941,1.053,s01
86,8.5,58.341,0.952,0.947,s01
87,8.6,58.954,0.963,0.854,s01
88,8.7,59.566,0.973,0.730,s01
89,8.8,60.244,0.984,0.612,s01
90,8.9,60.942,0.995,0.480,s01
91,9.0,61.566,1.006,0.316,s01
92,9.1,62.200,1.016,0.186,s01
93,9.2,62.837,1.027,0.036,s01
94,9.3,63.401,1.037,-0.137,s01
95,9.4,64.093,1.048,-0.295,s01
96,9.5,64.788,1.060,-0.469,s01
97,9.6,65.495,1.072,-0.624,s01
98,9.7,66.122,1.082,-0.775,s01
99,9.8,66.731,1.092,-0.922,s01
100,9.9,67.425,1.104,-1.041,s01
101,10.0,68.042,1.114,-1.177,s01
102,10.1,68.667,1.124,-1.303,s01
103,10.2,69.316,1.135,-1.408,s01
104,10.3,69.840,1.144,-1.540,s01
105,10.4,70.384,1.153,-1.699,s01
106,10.5,70.976,1.163,-1.850,s01
107,10.6,71.553,1.173,-1.949,s01
108,10.7,72.179,1.183,-2.113,s01
109,10.8,72.806,1.194,-2.286,s01
110,10.9,73.447,1.204,-2.446,s01
111,11.0,74.121,1.215,-2.577,s01
112,11.1,74.815,1.227,-2.713,s01
113,11.2,75.493,1.238,-2.837,s01
114,11.3,76.187,1.250,-2.957,s01
115,11.4,76.760,1.259,-3.048,s01
116,11.5,77.442,1.271,-3.229,s01
117,11.6,78.045,1.281,-3.334,s01
118,11.7,78.644,1.291,-3.418,s01
119,11.8,79.368,1.302,-3.508,s01
120,11.9,79.956,1.312,-3.647,s01
121,12.0,80.552,1.322,-3.757,s01
122,12.1,81.212,1.333,-3.825,s01
123,12.2,81.858,1.344,-3.883,s01
124,12.3,82.521,1.354,-3.984,s01
125,12.4,83.149,1.365,-4.027,s01
126,12.5,83.769,1.375,-4.081,s01
127,12.6,84.440,1.386,-4.135,s01
128,12.7,84.963,1.394,-4.163,s01
129,12.8,85.576,1.404,-4.157,s01
130,12.9,86.190,1.414,-4.182,s01
131,13.0,86.743,1.423,-4.201,s01
132,13.1,87.320,1.432,-4.195,s01
133,13.2,87.923,1.442,-4.173,s01
134,13.3,88.441,1.451,-4.170,s01
135,13.4,89.023,1.460,-4.144,s01
136,13.5,89.580,1.469,-4.091,s01
137,13.6,90.169,1.478,-4.059,s01
138,13.7,90.766,1.488,-4.017,s01
139,13.8,91.354,1.497,-3.963,s01
140,13.9,91.987,1.507,-3.906,s01
141,14.0,92.578,1.517,-3.869,s01
142,14.1,93.177,1.526,-3.838,s01
143,14.2,93.831,1.537,-3.757,s01
144,14.3,94.459,1.547,-3.694,s01
145,14.4,94.996,1.555,-3.659,s01
146,14.5,95.614,1.565,-3.628,s01
147,14.6,96.132,1.573,-3.596,s01
148,14.7,96.720,1.583,-3.538,s01
149,14.8,97.353,1.593,-3.497,s01
150,14.9,98.003,1.603,-3.455,s01
151,15.0,98.660,1.614,-3.393,s01
152,15.1,99.304,1.624,-3.378,s01
153,15.2,99.998,1.635,-3.342,s01
154,15.3,100.680,1.646,-3.321,s01
155,15.4,101.328,1.657,-3.261,s01
156,15.5,102.038,1.668,-3.159,s01
157,15.6,102.800,1.680,-3.117,s01
158,15.7,103.387,1.689,-3.095,s01
159,15.8,104.043,1.700,-3.076,s01
160,15.9,104.657,1.710,-3.032,s01
161,16.0,105.339,1.721,-2.967,s01
162,16.1,105.910,1.730,-2.949,s01
163,16.2,106.596,1.741,-2.943,s01
164,16.3,107.261,1.752,-2.964,s01
165,16.4,107.943,1.763,-3.023,s01
166,16.5,108.552,1.773,-3.103,s01
167,16.6,109.258,1.784,-3.110,s01
168,16.7,109.965,1.796,-3.130,s01
169,16.8,110.668,1.807,-3.157,s01
170,16.9,111.375,1.819,-3.192,s01
171,17.0,112.037,1.829,-3.225,s01
172,17.1,112.613,1.839,-3.193,s01
173,17.2,113.226,1.849,-3.192,s01
174,17.3,113.690,1.856,-3.179,s01
175,17.4,114.221,1.864,-3.115,s01
176,17.5,114.760,1.873,-3.129,s01
177,17.6,115.283,1.882,-3.172,s01
